"name","tag"
"eleven","CEFR-A1"
"and","CEFR-A1"
"eighteen","CEFR-A1"
"eight","CEFR-A1"
"as","CEFR-A1"
"or","CEFR-A1"
"but","CEFR-A1"
"because","CEFR-A1"
"clothes","CEFR-A1"
"twelve","CEFR-A1"
"two","CEFR-A1"
"twenty","CEFR-A1"
"to","CEFR-A1"
"three","CEFR-A1"
"thirteen","CEFR-A1"
"ten","CEFR-A1"
"sixteen","CEFR-A1"
"six","CEFR-A1"
"seventeen","CEFR-A1"
"one","CEFR-A1"
"seven","CEFR-A1"
"second","CEFR-A1,TOEFL"
"nineteen","CEFR-A1"
"nine","CEFR-A1"
"fourteen","CEFR-A1"
"four","CEFR-A1"
"five","CEFR-A1"
"fifteen","CEFR-A1"
"group","CEFR-A1"
"son","CEFR-A1"
"beer","CEFR-A1"
"restaurant","CEFR-A1"
"school","CEFR-A1"
"meet","CEFR-A1"
"really","CEFR-A1"
"ear","CEFR-A1"
"here","CEFR-A1"
"bread","CEFR-A1"
"late","CEFR-A1"
"house","CEFR-A1"
"look","CEFR-A1"
"zoo","CEFR-A1"
"sister","CEFR-A1"
"work","CEFR-A1,SAT"
"problem","CEFR-A1"
"Saturday","CEFR-A1"
"leave","CEFR-A1"
"interesting","CEFR-A1"
"body","CEFR-A1,SAT"
"hard","CEFR-A1"
"word","CEFR-A1"
"vegetable","CEFR-A1,SAT"
"hot","CEFR-A1"
"garden","CEFR-A1"
"camera","CEFR-A1"
"party","CEFR-A1"
"person","CEFR-A1"
"phone","CEFR-A1"
"know","CEFR-A1"
"exciting","CEFR-A1"
"arm","CEFR-A1"
"first","CEFR-A1"
"sentence","CEFR-A1,GMAT"
"sandwich","CEFR-A1"
"farm","CEFR-A1"
"listen","CEFR-A1"
"book","CEFR-A1"
"sheep","CEFR-A1"
"boring","CEFR-A1,CET4,CET6,GRE"
"music","CEFR-A1"
"question","CEFR-A1"
"sun","CEFR-A1"
"plate","CEFR-A1,TOEFL"
"door","CEFR-A1"
"come","CEFR-A1"
"band","CEFR-A1,CET4,CET6,IELTS,KaoYa,TOEFL"
"pig","CEFR-A1"
"parent","CEFR-A1"
"job","CEFR-A1"
"part","CEFR-A1"
"paint","CEFR-A1"
"feel","CEFR-A1"
"ad","CEFR-A1"
"pet","CEFR-A1"
"mother","CEFR-A1"
"holiday","CEFR-A1"
"pair","CEFR-A1"
"October","CEFR-A1"
"eat","CEFR-A1"
"beautiful","CEFR-A1"
"pencil","CEFR-A1"
"warm","CEFR-A1"
"picnic","CEFR-A1"
"fast","CEFR-A1,GRE"
"dining room","CEFR-A1"
"friend","CEFR-A1,GRE"
"go","CEFR-A1"
"month","CEFR-A1"
"night","CEFR-A1"
"draw","CEFR-A1,TOEFL"
"number","CEFR-A1"
"floor","CEFR-A1"
"glass","CEFR-A1"
"cold","CEFR-A1"
"bookcase","CEFR-A1"
"world","CEFR-A1"
"horse","CEFR-A1"
"watch","CEFR-A1"
"mom","CEFR-A1"
"catch","CEFR-A1"
"November","CEFR-A1"
"drive","CEFR-A1"
"radio","CEFR-A1"
"pen","CEFR-A1"
"poor","CEFR-A1"
"meal","CEFR-A1"
"easy","CEFR-A1"
"desk","CEFR-A1"
"shower","CEFR-A1,TOEFL"
"better","CEFR-A1"
"outside","CEFR-A1,CET4"
"note","CEFR-A1,GMAT"
"sweet","CEFR-A1"
"cup","CEFR-A1"
"cheap","CEFR-A1"
"bedroom","CEFR-A1"
"winter","CEFR-A1"
"fish","CEFR-A1"
"walk","CEFR-A1"
"husband","CEFR-A1,GRE"
"movie theater","CEFR-A1"
"noise","CEFR-A1"
"drink","CEFR-A1"
"picture","CEFR-A1"
"knife","CEFR-A1"
"difficult","CEFR-A1"
"chair","CEFR-A1"
"bath","CEFR-A1"
"father","CEFR-A1"
"fly","CEFR-A1"
"dance","CEFR-A1"
"daughter","CEFR-A1"
"vacation","CEFR-A1,CET4,IELTS,TOEFL"
"minute","CEFR-A1,GMAT,SAT,TOEFL"
"morning","CEFR-A1"
"cook","CEFR-A1"
"different","CEFR-A1"
"down","CEFR-A1,GRE"
"name","CEFR-A1"
"be","CEFR-A1"
"cracker","CEFR-A1"
"busy","CEFR-A1"
"bathroom","CEFR-A1"
"wind","CEFR-A1"
"dog","CEFR-A1"
"visit","CEFR-A1"
"brother","CEFR-A1"
"road","CEFR-A1"
"kind","CEFR-A1"
"Monday","CEFR-A1"
"closed","CEFR-A1"
"below","CEFR-A1"
"message","CEFR-A1,KaoYa"
"coffee shop","CEFR-A1"
"all right","CEFR-A1"
"address","CEFR-A1,GRE,IELTS,TOEFL"
"town","CEFR-A1"
"cow","CEFR-A1,GRE"
"stop","CEFR-A1"
"birthday","CEFR-A1"
"train","CEFR-A1"
"hour","CEFR-A1"
"May","CEFR-A1,CEFR-A2"
"send","CEFR-A1"
"tired","CEFR-A1"
"back","CEFR-A1"
"letter","CEFR-A1"
"café","CEFR-A1"
"expensive","CEFR-A1"
"have","CEFR-A1"
"summer","CEFR-A1"
"cat","CEFR-A1"
"start","CEFR-A1"
"think","CEFR-A1"
"taxi","CEFR-A1"
"hotel","CEFR-A1"
"March","CEFR-A1,CEFR-C1,TOEFL"
"need","CEFR-A1"
"excited","CEFR-A1"
"above","CEFR-A1"
"language","CEFR-A1"
"bean","CEFR-A1,CET4,KaoYa"
"possible","CEFR-A1"
"tomato","CEFR-A1"
"weather","CEFR-A1,GRE"
"bird","CEFR-A1"
"smoke","CEFR-A1"
"important","CEFR-A1"
"yellow","CEFR-A1"
"cross","CEFR-A1"
"learn","CEFR-A1"
"tea","CEFR-A1"
"water","CEFR-A1"
"see","CEFR-A1"
"subway","CEFR-A1,CET4,KaoYa,TOEFL"
"hospital","CEFR-A1"
"life","CEFR-A1"
"love","CEFR-A1"
"want","CEFR-A1"
"street","CEFR-A1"
"June","CEFR-A1"
"the Internet","CEFR-A1"
"white","CEFR-A1"
"answer","CEFR-A1"
"class","CEFR-A1"
"potato","CEFR-A1"
"snow","CEFR-A1"
"run","CEFR-A1"
"enjoy","CEFR-A1"
"car","CEFR-A1"
"end","CEFR-A1"
"Friday","CEFR-A1"
"get","CEFR-A1"
"orange","CEFR-A1"
"jeans","CEFR-A1,CET4,TOEFL"
"yesterday","CEFR-A1"
"test","CEFR-A1"
"lunch","CEFR-A1"
"early","CEFR-A1"
"village","CEFR-A1"
"kick","CEFR-A1"
"factory","CEFR-A1"
"July","CEFR-A1"
"great","CEFR-A1"
"small","CEFR-A1"
"wear","CEFR-A1,TOEFL"
"homework","CEFR-A1"
"pizza","CEFR-A1"
"rain","CEFR-A1"
"open","CEFR-A1"
"nice","CEFR-A1"
"glasses","CEFR-A1"
"why","CEFR-A1"
"subject","CEFR-A1,CET4,GMAT,IELTS,TOEFL"
"juice","CEFR-A1,TOEFL"
"best","CEFR-A1"
"tree","CEFR-A1"
"help","CEFR-A1"
"like","CEFR-A1"
"plane","CEFR-A1,SAT"
"example","CEFR-A1"
"January","CEFR-A1"
"red","CEFR-A1"
"pants","CEFR-A1,CET4,KaoYa,TOEFL"
"university","CEFR-A1,GMAT"
"grass","CEFR-A1"
"fun","CEFR-A1"
"bus","CEFR-A1"
"e-mail","CEFR-A1"
"February","CEFR-A1"
"check","CEFR-A1,IELTS,TOEFL"
"hair","CEFR-A1"
"boat","CEFR-A1"
"day","CEFR-A1"
"evening","CEFR-A1"
"buy","CEFR-A1"
"new","CEFR-A1"
"where","CEFR-A1"
"student","CEFR-A1"
"ice cream","CEFR-A1"
"a.m.","CEFR-A1"
"river","CEFR-A1"
"hear","CEFR-A1"
"woman","CEFR-A1"
"bike","CEFR-A1"
"date","CEFR-A1,TOEFL"
"December","CEFR-A1"
"long","CEFR-A1"
"T-shirt","CEFR-A1"
"when","CEFR-A1"
"lesson","CEFR-A1"
"together","CEFR-A1"
"fruit","CEFR-A1"
"always","CEFR-A1"
"plant","CEFR-A1"
"finish","CEFR-A1"
"too","CEFR-A1"
"Mr.","CEFR-A1"
"man","CEFR-A1"
"Web site","CEFR-A1"
"August","CEFR-A1,GRE,SAT"
"stay","CEFR-A1"
"little","CEFR-A1"
"skirt","CEFR-A1,GRE,SAT"
"well","CEFR-A1"
"dictionary","CEFR-A1"
"food","CEFR-A1"
"also","CEFR-A1"
"place","CEFR-A1,SAT"
"animal","CEFR-A1"
"close","CEFR-A1"
"girl","CEFR-A1"
"DVD","CEFR-A1"
"credit card","CEFR-A1"
"April","CEFR-A1,KaoYa"
"sleep","CEFR-A1"
"yes","CEFR-A1"
"light","CEFR-A1,SAT"
"shoe","CEFR-A1"
"up","CEFR-A1"
"course","CEFR-A1,IELTS,TOEFL"
"sad","CEFR-A1"
"Mrs.","CEFR-A1"
"egg","CEFR-A1"
"again","CEFR-A1"
"park","CEFR-A1"
"conversation","CEFR-A1,IELTS,TOEFL"
"choose","CEFR-A1"
"tonight","CEFR-A1"
"Miss","CEFR-A1,CEFR-A2"
"green","CEFR-A1"
"shirt","CEFR-A1"
"about","CEFR-A1"
"flower","CEFR-A1"
"television","CEFR-A1"
"change","CEFR-A1"
"tomorrow","CEFR-A1"
"boy","CEFR-A1"
"CD","CEFR-A1"
"country","CEFR-A1"
"age","CEFR-A1"
"sit","CEFR-A1"
"today","CEFR-A1"
"beard","CEFR-A1,CET4,KaoYa"
"clock","CEFR-A1"
"afternoon","CEFR-A1"
"OK","CEFR-A1"
"gray","CEFR-A1"
"jacket","CEFR-A1"
"color","CEFR-A1"
"happy","CEFR-A1"
"dinner","CEFR-A1"
"wrong","CEFR-A1"
"beach","CEFR-A1,TOEFL"
"smoking","CEFR-A1"
"tennis","CEFR-A1"
"child","CEFR-A1"
"understand","CEFR-A1"
"very","CEFR-A1"
"dark","CEFR-A1"
"coat","CEFR-A1"
"there","CEFR-A1"
"speak","CEFR-A1"
